Antibiotic,Position,MIC,QC
chloramphenicol,G1,<0.03125,F
chloramphenicol,G2,8.0,P
chloramphenicol,G3,64.0,P
chloramphenicol,G4,8.0,P
chloramphenicol,G5,8.0,F
chloramphenicol,G6,8.0,P
chloramphenicol,G7,4.0,P
chloramphenicol,G8,4.0,P
chloramphenicol,G9,<0.03125,F
chloramphenicol,G10,2.0,F
chloramphenicol,G11,4.0,P
chloramphenicol,G12,<0.03125,F
chloramphenicol,H1,4.0,P
chloramphenicol,H2,16.0,W
chloramphenicol,H3,4.0,P
chloramphenicol,H4,16.0,P
chloramphenicol,H5,16.0,P
chloramphenicol,H6,8.0,P
chloramphenicol,H7,16.0,F
chloramphenicol,H8,<0.03125,F
chloramphenicol,H9,16.0,F
chloramphenicol,H10,2.0,F
chloramphenicol,H11,4.0,P
chloramphenicol,H12,<0.03125,W
ciprofloxacin,A1,>4.0,P
ciprofloxacin,A2,>4.0,P
ciprofloxacin,A3,>4.0,P
ciprofloxacin,A4,>4.0,P
ciprofloxacin,A5,0.03125,P
ciprofloxacin,A6,4.0,P
ciprofloxacin,A7,0.125,P
ciprofloxacin,A8,0.125,P
ciprofloxacin,A9,>4.0,P
ciprofloxacin,A10,0.0625,P
ciprofloxacin,A11,0.03125,P
ciprofloxacin,A12,>4.0,P
ciprofloxacin,B1,0.0625,P
ciprofloxacin,B2,0.5,P
ciprofloxacin,B3,<0.0078125,F
ciprofloxacin,B4,0.25,P
ciprofloxacin,B5,4.0,P
ciprofloxacin,B6,0.03125,P
ciprofloxacin,B7,0.125,P
ciprofloxacin,B8,0.03125,P
ciprofloxacin,B9,0.25,P
ciprofloxacin,B10,0.03125,P
ciprofloxacin,B11,0.015625,P
ciprofloxacin,B12,<0.0078125,F
ciprofloxacin,C1,1.0,P
ciprofloxacin,C2,<0.0078125,F
ciprofloxacin,C3,0.125,P
ciprofloxacin,C4,0.25,P
ciprofloxacin,C5,>4.0,P
ciprofloxacin,C6,0.015625,P
ciprofloxacin,C7,1.0,P
ciprofloxacin,C8,0.015625,P
ciprofloxacin,C9,0.25,P
ciprofloxacin,C10,>4.0,P
ciprofloxacin,C11,<0.0078125,W
ciprofloxacin,C12,0.125,F
ciprofloxacin,D1,0.03125,W
ciprofloxacin,D2,0.03125,P
ciprofloxacin,D3,0.03125,P
ciprofloxacin,D4,0.03125,W
ciprofloxacin,D5,>4.0,P
ciprofloxacin,D6,0.125,P
ciprofloxacin,D7,0.25,P
ciprofloxacin,D8,0.5,P
ciprofloxacin,D9,0.25,P
ciprofloxacin,D10,<0.0078125,P
ciprofloxacin,D11,<0.0078125,P
ciprofloxacin,D12,0.125,P
ciprofloxacin,E1,0.125,P
ciprofloxacin,E2,2.0,P
ciprofloxacin,E3,>4.0,P
ciprofloxacin,E4,>4.0,P
ciprofloxacin,E5,0.03125,P
ciprofloxacin,E6,0.5,P
ciprofloxacin,E7,2.0,P
ciprofloxacin,E8,>4.0,P
ciprofloxacin,E9,0.015625,P
ciprofloxacin,E10,<0.0078125,P
ciprofloxacin,E11,<0.0078125,P
ciprofloxacin,E12,>4.0,F
ciprofloxacin,F1,<0.0078125,W
ciprofloxacin,F2,<0.0078125,W
ciprofloxacin,F3,0.03125,W
ciprofloxacin,F4,0.03125,P
ciprofloxacin,F5,0.03125,W
ciprofloxacin,F6,<0.0078125,P
ciprofloxacin,F7,<0.0078125,P
ciprofloxacin,F8,0.03125,P
ciprofloxacin,F9,0.03125,W
ciprofloxacin,F10,<0.0078125,P
ciprofloxacin,F11,<0.0078125,P
ciprofloxacin,F12,4.0,F
ciprofloxacin,G1,<0.0078125,F
ciprofloxacin,G2,2.0,P
ciprofloxacin,G3,>4.0,P
ciprofloxacin,G4,0.03125,P
ciprofloxacin,G5,0.5,P
ciprofloxacin,G6,>4.0,P
ciprofloxacin,G7,0.015625,P
ciprofloxacin,G8,0.03125,P
ciprofloxacin,G9,<0.0078125,F
ciprofloxacin,G10,0.5,P
ciprofloxacin,G11,1.0,P
ciprofloxacin,G12,<0.0078125,F
ciprofloxacin,H1,0.015625,F
ciprofloxacin,H2,2.0,F
ciprofloxacin,H3,>4.0,P
ciprofloxacin,H4,>4.0,P
ciprofloxacin,H5,0.0625,P
ciprofloxacin,H6,0.03125,P
ciprofloxacin,H7,0.125,P
ciprofloxacin,H8,<0.0078125,F
ciprofloxacin,H9,>4.0,P
ciprofloxacin,H10,1.0,P
ciprofloxacin,H11,>4.0,P
ciprofloxacin,H12,<0.0078125,P
meropenem,A1,8.0,P
meropenem,A2,1.0,P
meropenem,A3,1.0,P
meropenem,A4,0.03125,P
meropenem,A5,1.0,P
meropenem,A6,1.0,P
meropenem,A7,0.5,P
meropenem,A8,0.5,P
meropenem,A9,>16.0,P
meropenem,A10,2.0,P
meropenem,A11,<0.00390625,P
meropenem,A12,0.125,P
meropenem,B1,0.5,P
meropenem,B2,0.25,P
meropenem,B3,<0.00390625,F
meropenem,B4,0.5,P
meropenem,B5,0.5,P
meropenem,B6,8.0,P
meropenem,B7,0.25,P
meropenem,B8,1.0,P
meropenem,B9,0.125,P
meropenem,B10,0.03125,P
meropenem,B11,<0.00390625,F
meropenem,B12,0.03125,P
meropenem,C1,16.0,P
meropenem,C2,<0.00390625,F
meropenem,C3,0.25,P
meropenem,C4,0.5,P
meropenem,C5,2.0,P
meropenem,C6,16.0,P
meropenem,C7,0.5,P
meropenem,C8,0.125,P
meropenem,C9,0.25,P
meropenem,C10,0.03125,P
meropenem,C11,<0.00390625,F
meropenem,C12,0.03125,P
meropenem,D1,2.0,P
meropenem,D2,<0.00390625,W
meropenem,D3,0.5,P
meropenem,D4,2.0,P
meropenem,D5,1.0,P
meropenem,D6,4.0,P
meropenem,D7,0.5,P
meropenem,D8,1.0,P
meropenem,D9,8.0,P
meropenem,D10,0.03125,P
meropenem,D11,<0.00390625,F
meropenem,D12,0.03125,P
meropenem,E1,0.125,P
meropenem,E2,0.25,P
meropenem,E3,0.25,P
meropenem,E4,4.0,P
meropenem,E5,0.25,P
meropenem,E6,0.0625,P
meropenem,E7,0.0625,P
meropenem,E8,0.25,P
meropenem,E9,4.0,P
meropenem,E10,0.03125,P
meropenem,E11,<0.00390625,F
